"    Бытовая техника","","","",""
"            Мойки","","","",""
"                Минимойка Aqua Race APW-VTB-110P","48390","2999","","нет"
"        Увлажнители","","","",""
"            Увлажнитель ""Element ES-601""","14083","846","","заканчиваются"
"            Увлажнитель ""Element ES-602H""","14084","1217","","заканчиваются"
"        Электрообогреватели","","","",""
"            Инфракрасные обогреватели","","","",""
"                Обогреватель инфракрасный ELEMENT IR-1500","11714","999","","нет"
"                Обогреватель инфракрасный ELEMENT IR-1800","11715","1049","","нет"
"                Обогреватель инфракрасный ELEMENT IR-2500","11716","1099","","нет"
"            Кварцевые инфракрасные обогреватели","","","",""
"                Обогреватель кварцевый инфракрасный KVH-1401","12777","899","","нет"
"                Обогреватель кварцевый инфракрасный KVH-1801","12778","949","","нет"
"                Обогреватель кварцевый инфракрасный KVH-2501","12779","999","","нет"
"            Конвекторы","","","",""
"                Конвектор CE-1002LK","9836","1324","","заканчиваются"
"                Конвектор CE-1005LKS","11664","1522","","заканчиваются"
"                Конвектор CE-1006MH","12722","953","","заканчиваются"
"                Конвектор CE-1007MTA","13800","1058","","нет"
"                Конвектор CE-1008LT","13803","1324","","заканчиваются"
"                Конвектор CE-1011МВК","48576","599","","достаточно"
"                Конвектор CE-1505LKS","11665","1720","","заканчиваются"
"                Конвектор CE-1507MTA","13801","1190","","нет"
"                Конвектор CE-1508LT","13804","1588","","заканчиваются"
"                Конвектор CE-1509MTS","14110","1853","","достаточно"
"                Конвектор CE-2007MTA","13802","1324","","нет"
"                Конвектор CE-2008LT","13805","1853","","нет"
"                Конвектор CE-2009MTS","14111","1985","","заканчиваются"
"                Конвектор CE-2012МВ","49004","749","","заканчиваются"
"                Конвектор CE-2409MTS","14112","2117","","заканчиваются"
"                Конвектор CE-750MH","12721","767","","заканчиваются"
"                Конвектор PH-1003MK","10296","953","","заканчиваются"
"                Конвектор PH-1503MK","10297","1217","","заканчиваются"
"                Конвектор PH-2003MK","10298","1350","","заканчиваются"
"                Обогреватель конвекционный ELEMENT CE-2011S","14204","1416","","заканчиваются"
"            Маслянные радиаторы","","","",""
